t,x,y
7.710000,0.725433,-0.195138
7.720000,0.723466,-0.198202
7.730000,0.721469,-0.201262
7.740000,0.719441,-0.204314
7.750000,0.717383,-0.207359
7.760000,0.715294,-0.210395
7.770000,0.713175,-0.213420
7.780000,0.711026,-0.216433
7.790000,0.708846,-0.219433
7.800000,0.706637,-0.222418
7.810000,0.704398,-0.225388
7.820000,0.702129,-0.228341
7.830000,0.699831,-0.231275
7.840000,0.697504,-0.234190
7.850000,0.695148,-0.237084
7.860000,0.692762,-0.239956
7.870000,0.690348,-0.242805
7.880000,0.687906,-0.245630
7.890000,0.685436,-0.248428
7.900000,0.682938,-0.251200
7.910000,0.680412,-0.253943
7.920000,0.677859,-0.256658
7.930000,0.675279,-0.259342
7.940000,0.672672,-0.261994
7.950000,0.670039,-0.264614
7.960000,0.667380,-0.267199
7.970000,0.664695,-0.269750
7.980000,0.661985,-0.272265
7.990000,0.659250,-0.274742
8.000000,0.656491,-0.277182
8.010000,0.653707,-0.279582
8.020000,0.650899,-0.281941
8.030000,0.648068,-0.284260
8.040000,0.645214,-0.286536
8.050000,0.642337,-0.288769
8.060000,0.639439,-0.290958
8.070000,0.636518,-0.293101
8.080000,0.633577,-0.295199
8.090000,0.630615,-0.297249
8.100000,0.627632,-0.299252
8.110000,0.624630,-0.301206
8.120000,0.621608,-0.303110
8.130000,0.618568,-0.304964
8.140000,0.615509,-0.306766
8.150000,0.612433,-0.308517
8.160000,0.609339,-0.310215
8.170000,0.606228,-0.311859
8.180000,0.603102,-0.313449
8.190000,0.599960,-0.314984
8.200000,0.596802,-0.316464
8.210000,0.593631,-0.317887
8.220000,0.590445,-0.319253
8.230000,0.587246,-0.320562
8.240000,0.584034,-0.321813
8.250000,0.580810,-0.323005
8.260000,0.577574,-0.324137
8.270000,0.574327,-0.325210
8.280000,0.571070,-0.326223
8.290000,0.567803,-0.327175
8.300000,0.564527,-0.328066
8.310000,0.561242,-0.328895
8.320000,0.557949,-0.329662
8.330000,0.554649,-0.330366
8.340000,0.551342,-0.331008
8.350000,0.548029,-0.331586
8.360000,0.544710,-0.332101
8.370000,0.541387,-0.332552
8.380000,0.538059,-0.332939
8.390000,0.534728,-0.333262
8.400000,0.531394,-0.333520
8.410000,0.528058,-0.333713
8.420000,0.524720,-0.333841
8.430000,0.521382,-0.333904
8.440000,0.518043,-0.333902
8.450000,0.514704,-0.333834
8.460000,0.511366,-0.333700
8.470000,0.508030,-0.333501
8.480000,0.504696,-0.333236
8.490000,0.501366,-0.332906
8.500000,0.498038,-0.332509
8.510000,0.494716,-0.332047
8.520000,0.491398,-0.331519
8.530000,0.488085,-0.330925
8.540000,0.484779,-0.330266
8.550000,0.481480,-0.329541
8.560000,0.478189,-0.328750
8.570000,0.474906,-0.327894
8.580000,0.471631,-0.326973
8.590000,0.468366,-0.325987
8.600000,0.465112,-0.324936
8.610000,0.461868,-0.323820
8.620000,0.458635,-0.322640
8.630000,0.455415,-0.321396
8.640000,0.452208,-0.320088
8.650000,0.449014,-0.318716
8.660000,0.445834,-0.317281
8.670000,0.442668,-0.315783
8.680000,0.439518,-0.314222
8.690000,0.436384,-0.312599
8.700000,0.433266,-0.310914
8.710000,0.430166,-0.309167
8.720000,0.427083,-0.307360
8.730000,0.424019,-0.305491
8.740000,0.420974,-0.303563
8.750000,0.417948,-0.301575
8.760000,0.414942,-0.299527
8.770000,0.411958,-0.297421
8.780000,0.408994,-0.295256
8.790000,0.406053,-0.293034
8.800000,0.403134,-0.290755
8.810000,0.400238,-0.288419
8.820000,0.397365,-0.286027
8.830000,0.394517,-0.283580
8.840000,0.391694,-0.281078
8.850000,0.388896,-0.278521
8.860000,0.386124,-0.275912
8.870000,0.383378,-0.273249
8.880000,0.380659,-0.270535
8.890000,0.377967,-0.267769
8.900000,0.375304,-0.264952
8.910000,0.372668,-0.262086
8.920000,0.370062,-0.259170
8.930000,0.367485,-0.256205
8.940000,0.364938,-0.253193
8.950000,0.362422,-0.250134
8.960000,0.359936,-0.247029
8.970000,0.357481,-0.243879
8.980000,0.355058,-0.240684
8.990000,0.352668,-0.237445
9.000000,0.350309,-0.234164
9.010000,0.347984,-0.230840
9.020000,0.345693,-0.227476
